Zeitstempel,"Which device do you own?
[If multiple pick the most recent one]",In what condition did you receive your device?,How long have you owned the device for?,Have you had to RMA your device?,Does your foldable screen open all the way?,Did your outer (small) screen break with no fault of your own ?,Did your inner (large) screen break with no fault of your own ?,What kind of screen protector do you use for your outer (small) screen?,What kind of screen protector do you use for your inner (large) screen?,Did your inner default screen protector peel or bubble up?,"Are you seeing micro cracks on the inner screen?
[Tiny scuffs especially at the middle part that look like scratches]",How is the surface of the inner screen holding up?,What is your screen usage?,How often do you fold your device in a day?
25.03.2025 16:47:47,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,8,11–15 times
25.03.2025 16:52:25,Z Fold 4,Factory new,Over 24 months,No,Yes,No,No,3rd party,None,"Yes, after more than 24 months",No,Completely fine,10,11–15 times
25.03.2025 17:01:48,Z Fold 4,Refurbished,Over 24 months,"Yes, 1x",Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,6,6–10 times
25.03.2025 17:06:33,Z Fold 4,Refurbished,19–24 months,No,"No, 21–45° are missing to be flat",No,No,3rd party,None,"Yes, after 0–6 months","Yes, since 13–18 months","Small scratches, only visible under a certain light",5,6–10 times
25.03.2025 17:08:20,Z Fold 5,Used,13–18 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,"Yes, after 13–18 months",No,Completely fine,4,11–15 times
25.03.2025 17:11:57,Z Fold 4,Factory new,Over 24 months,"Yes, 1x","No, 1–20° are missing to be flat",No,No,None,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,2,More than 20 times a day
25.03.2025 17:11:58,Z Fold 4,Factory new,Over 24 months,"Yes, 1x","No, 1–20° are missing to be flat",No,No,None,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,2,More than 20 times a day
25.03.2025 17:12:01,Z Fold 3,Factory new,Over 24 months,No,"No, 21–45° are missing to be flat",No,"Yes, after 19–24 months",Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after 13–18 months",No,Completely fine,9,6–10 times
25.03.2025 17:12:16,Z Fold 6,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,0–5 times
25.03.2025 17:16:31,Z Fold 4,Factory new,Over 24 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,"Yes, after more than 24 months","Yes, since more than 24 months",Completely fine,4,16–20 times
25.03.2025 17:26:50,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,2,More than 20 times a day
25.03.2025 17:34:27,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,None,None,"Yes, after 13–18 months",No,Completely fine,7,6–10 times
25.03.2025 17:37:54,Z Fold 5,Used,13–18 months,No,Yes,No,No,None,None,"Yes, after 13–18 months",No,Completely fine,6,6–10 times
25.03.2025 17:43:42,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,5,11–15 times
25.03.2025 17:47:58,Z Fold 4,Factory new,19–24 months,"Yes, 1x","No, 1–20° are missing to be flat",No,No,3rd party,3rd party,"Yes, after 0–6 months","Yes, since 7–12 months",Completely fine,8,0–5 times
25.03.2025 17:48:51,Z Fold 4,Refurbished,0–6 months,"Yes, 1x",Yes,No,No,3rd party,Default factory one that is pre-applied,No,"Yes, since 0–6 months",Completely fine,7,0–5 times
25.03.2025 17:55:36,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,None,None,"Yes, after 19–24 months",No,Completely fine,7,16–20 times
25.03.2025 17:57:19,Z Fold 6,Used,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,4,6–10 times
25.03.2025 17:57:46,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,6,11–15 times
25.03.2025 17:59:49,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,9,0–5 times
25.03.2025 18:00:03,Z Fold 3,Factory new,Over 24 months,"Yes, 2x",Yes,"Yes, after 0–6 months","Yes, after 0–6 months",3rd party,3rd party,"Yes, after 7–12 months",No,Completely fine,7,11–15 times
25.03.2025 18:05:56,Z Fold 3,Used,7–12 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,3rd party,No,"Yes, since 0–6 months",Completely fine,5,11–15 times
25.03.2025 18:10:19,Z Fold 4,Factory new,19–24 months,No,Yes,No,No,None,None,"Yes, after 7–12 months",No,Completely fine,7,11–15 times
25.03.2025 18:16:24,Z Fold 4,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat",No,"Yes, after more than 24 months",Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after 13–18 months",No,"Small scratches, only visible under a certain light",9,6–10 times
25.03.2025 18:25:31,Z Fold 5,Refurbished,13–18 months,No,Yes,No,No,3rd party,None,"Yes, after 13–18 months",No,Completely fine,7,0–5 times
25.03.2025 18:25:38,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,11–15 times
25.03.2025 18:38:48,Z Fold 5,Factory new,13–18 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,"Yes, since 13–18 months","Small scratches, only visible under a certain light",7,More than 20 times a day
25.03.2025 19:00:54,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after 19–24 months",No,Completely fine,8,More than 20 times a day
25.03.2025 19:20:02,Z Fold 6,Factory new,7–12 months,"Yes, 1x",Yes,No,"Yes, after 7–12 months",3rd party,Default factory one that is pre-applied,"Yes, after 0–6 months",No,Completely fine,7,0–5 times
25.03.2025 19:21:26,Z Fold 5,Factory new,13–18 months,"Yes, 1x",Yes,No,"Yes, after 0–6 months",3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",4,16–20 times
25.03.2025 19:32:28,Z Fold 4,Factory new,Over 24 months,No,"No, 21–45° are missing to be flat",No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 13–18 months",No,Completely fine,8,0–5 times
25.03.2025 19:41:15,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",5,6–10 times
25.03.2025 19:44:38,Z Fold 2,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat",No,No,None,None,"Yes, after 0–6 months","Yes, since 19–24 months","Small scratches, always visible",7,More than 20 times a day
25.03.2025 19:47:54,Z Fold 5,Factory new,13–18 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,"Yes, after 13–18 months",No,"Small scratches, only visible under a certain light",6,6–10 times
25.03.2025 19:50:23,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,None,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,"Small scratches, only visible under a certain light",4,More than 20 times a day
25.03.2025 20:00:53,Z Fold 4,Factory new,13–18 months,No,Yes,No,No,None,None,"Yes, after 0–6 months",No,"Small scratches, only visible under a certain light",4,11–15 times
25.03.2025 20:17:24,Z Fold 5,Factory new,13–18 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,2,6–10 times
25.03.2025 20:42:29,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,16–20 times
25.03.2025 20:57:20,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,1,6–10 times
25.03.2025 20:58:21,Z Fold 5,Factory new,13–18 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,4,6–10 times
25.03.2025 21:01:11,Z Fold 5,Used,7–12 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,4,11–15 times
25.03.2025 21:03:11,Z Fold 5,Factory new,Over 24 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
25.03.2025 21:05:09,Z Fold 4,Refurbished,13–18 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,9,0–5 times
25.03.2025 21:07:36,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,4,11–15 times
25.03.2025 21:34:55,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",7,11–15 times
25.03.2025 21:41:26,Z Fold 2,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat",No,No,None,None,"Yes, after 7–12 months","Yes, since 13–18 months","Larger scratches, always visible",2,16–20 times
25.03.2025 21:54:43,Z Fold 5,Factory new,13–18 months,No,Yes,No,No,None,None,"Yes, after 7–12 months",No,Completely fine,8,0–5 times
25.03.2025 21:54:46,Z Fold 4,Factory new,Over 24 months,"Yes, 2x",Yes,No,"Yes, after 7–12 months",Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,5,More than 20 times a day
25.03.2025 21:55:02,Z Fold 6,Factory new,7–12 months,No,Yes,No,"Yes, but at fault of my own",3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,More than 20 times a day
25.03.2025 21:56:30,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,None,None,No,"Yes, since 0–6 months","Small scratches, only visible under a certain light",7,0–5 times
25.03.2025 22:00:41,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",3,More than 20 times a day
25.03.2025 22:01:55,Z Fold 5,Used,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,2,11–15 times
25.03.2025 22:10:35,Z Fold 4,Factory new,19–24 months,"Yes, 1x","No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,"Yes, after 13–18 months",No,Completely fine,8,More than 20 times a day
25.03.2025 22:17:13,Z Fold 5,Factory new,13–18 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,Completely fine,7,More than 20 times a day
25.03.2025 22:32:49,Z Fold 5,Factory new,13–18 months,No,Yes,No,No,None,None,"Yes, after 7–12 months",No,Completely fine,1,16–20 times
25.03.2025 22:37:09,Z Fold 6,Factory new,0–6 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,None,No,"Yes, since 0–6 months",Completely fine,3,0–5 times
25.03.2025 22:39:40,Z Fold 3,Factory new,Over 24 months,No,Yes,No,No,None,Default factory one that is pre-applied,"Yes, after 7–12 months",No,"Small scratches, only visible under a certain light",7,11–15 times
25.03.2025 22:40:49,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,3rd party,3rd party,No,No,Completely fine,5,11–15 times
25.03.2025 22:42:58,Z Fold 4,Used,19–24 months,No,Yes,No,No,3rd party,3rd party,"Yes, after 7–12 months",No,Completely fine,1,0–5 times
25.03.2025 23:00:29,Z Fold 5,Factory new,13–18 months,"Yes, 1x",Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,5,11–15 times
16.03.2026 20:34:06,Z Fold 7,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
25.03.2025 23:04:32,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,None,Samsung official replacement (e. g. at a Service Centre),"Yes, after 19–24 months","Yes, since 13–18 months",Completely fine,7,11–15 times
25.03.2025 23:05:26,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
25.03.2025 23:06:02,Z Fold 4,Factory new,19–24 months,"Yes, more than 3x",Yes,No,"Yes, after 7–12 months",3rd party,Default factory one that is pre-applied,"Yes, after 13–18 months","Yes, since 13–18 months",Completely fine,8,16–20 times
25.03.2025 23:07:01,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,More than 20 times a day
25.03.2025 23:55:39,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,6–10 times
26.03.2025 00:03:16,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,6–10 times
26.03.2025 00:36:52,Z Fold 5,Refurbished,13–18 months,"Yes, 2x",Yes,No,"Yes, but at fault of my own",3rd party,Default factory one that is pre-applied,"Yes, after 7–12 months","Yes, since 7–12 months",Completely fine,5,11–15 times
26.03.2025 00:41:11,Z Fold 5,Refurbished,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,5,11–15 times
26.03.2025 00:51:46,Z Fold 4,Factory new,19–24 months,"Yes, 1x",Yes,No,"Yes, after 13–18 months",None,Default factory one that is pre-applied,"Yes, after 13–18 months","Yes, since 19–24 months","Small scratches, only visible under a certain light",3,6–10 times
26.03.2025 01:08:11,Z Fold 6,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,4,0–5 times
26.03.2025 01:20:51,Z Fold 5,Factory new,13–18 months,"Yes, 2x",Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",8,More than 20 times a day
26.03.2025 01:27:27,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,3,6–10 times
26.03.2025 01:42:52,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,11–15 times
26.03.2025 02:24:24,Z Fold 3,Factory new,Over 24 months,"Yes, 1x",Yes,No,"Yes, after 19–24 months",None,Default factory one that is pre-applied,"Yes, after 19–24 months","Yes, since 19–24 months","Small scratches, only visible under a certain light",5,6–10 times
26.03.2025 02:51:21,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",10,6–10 times
26.03.2025 02:51:32,Z Fold 6,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,None,Default factory one that is pre-applied,No,No,Completely fine,10,More than 20 times a day
26.03.2025 02:52:07,Z Fold 5,Refurbished,0–6 months,No,Yes,No,No,None,None,No,No,Completely fine,6,6–10 times
26.03.2025 03:26:04,Z Fold 4,Factory new,Over 24 months,"Yes, 1x",Yes,No,No,None,Samsung official replacement (e. g. at a Service Centre),No,"Yes, since 13–18 months",Completely fine,3,11–15 times
26.03.2025 03:34:19,Z Fold 4,Factory new,Over 24 months,No,Yes,No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,Completely fine,7,0–5 times
26.03.2025 03:49:26,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,3rd party,3rd party,"Yes, after 7–12 months",No,Completely fine,4,16–20 times
26.03.2025 03:50:16,Z Fold 5,Refurbished,0–6 months,"Yes, 1x",Yes,No,"Yes, after 0–6 months",None,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
26.03.2025 04:29:08,Z Fold 4,Factory new,13–18 months,"Yes, 1x",Yes,No,No,3rd party,3rd party,"Yes, after 7–12 months",No,Completely fine,5,16–20 times
26.03.2025 04:56:57,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,4,6–10 times
26.03.2025 05:05:10,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,16–20 times
26.03.2025 05:10:08,Z Fold 4,Factory new,Over 24 months,No,Yes,No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 13–18 months",No,Completely fine,4,6–10 times
26.03.2025 05:45:20,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,6,16–20 times
26.03.2025 07:11:20,Z Fold 4,Factory new,7–12 months,"Yes, 2x","No, more than 45° are missing to be flat",No,No,None,Samsung official replacement (e. g. at a Service Centre),"Yes, after 0–6 months",No,Completely fine,4,6–10 times
26.03.2025 07:18:17,Z Fold 4,Factory new,0–6 months,"Yes, 1x","No, 1–20° are missing to be flat",No,"Yes, after 0–6 months",A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,"Yes, after 0–6 months",No,Completely fine,2,16–20 times
26.03.2025 07:53:06,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,3rd party,None,No,No,Completely fine,3,16–20 times
26.03.2025 07:55:47,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,3,16–20 times
26.03.2025 08:13:41,Z Fold 6,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",4,11–15 times
26.03.2025 08:17:21,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,6–10 times
26.03.2025 09:19:45,Z Fold 6,Used,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,5,11–15 times
26.03.2025 13:01:09,Z Fold 6,Factory new,7–12 months,"Yes, 1x","No, 1–20° are missing to be flat",No,"Yes, after 7–12 months",Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,7,More than 20 times a day
26.03.2025 13:07:56,Z Fold 5,Factory new,Over 24 months,No,Yes,No,No,3rd party,3rd party,"Yes, after 13–18 months",No,Completely fine,5,16–20 times
26.03.2025 13:23:10,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",4,11–15 times
26.03.2025 13:30:47,Z Fold 4,Factory new,Over 24 months,No,Yes,No,"Yes, after 19–24 months",3rd party,3rd party,"Yes, after 13–18 months",No,Completely fine,6,6–10 times
26.03.2025 13:34:33,Z Fold 5,Used,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,9,11–15 times
26.03.2025 14:29:38,Z Fold 5,Factory new,13–18 months,No,Yes,No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 13–18 months",No,Completely fine,5,6–10 times
26.03.2025 14:34:41,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,8,6–10 times
26.03.2025 15:14:14,I don't own any of them,,,,,,,,,,,,,
26.03.2025 15:28:04,Z Fold 6,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,None,Default factory one that is pre-applied,No,No,Completely fine,8,11–15 times
26.03.2025 15:31:22,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",3,0–5 times
26.03.2025 15:56:13,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,None,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,Completely fine,4,11–15 times
26.03.2025 16:01:07,Z Fold 5,Factory new,13–18 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",3,11–15 times
26.03.2025 17:18:23,Z Fold 5,Factory new,13–18 months,No,Yes,No,"Yes, but at fault of my own",3rd party,3rd party,No,No,"Small scratches, always visible",7,11–15 times
26.03.2025 18:14:58,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,4,6–10 times
26.03.2025 20:11:25,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",6,16–20 times
26.03.2025 22:34:56,Z Fold 5,Used,13–18 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",7,0–5 times
26.03.2025 22:47:27,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,7,More than 20 times a day
26.03.2025 23:37:51,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,"Yes, after 19–24 months",No,Completely fine,8,6–10 times
27.03.2025 00:37:03,Z Fold 5,Factory new,13–18 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",5,6–10 times
27.03.2025 01:38:16,Z Fold 4,Factory new,Over 24 months,"Yes, 1x",Yes,"Yes, but at fault of my own","Yes, after 19–24 months",None,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months","Yes, since 19–24 months",Completely fine,7,6–10 times
27.03.2025 07:34:48,Z Fold 3,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat",No,"Yes, after more than 24 months",3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 0–6 months","Yes, since more than 24 months","Small scratches, only visible under a certain light",7,6–10 times
27.03.2025 09:50:07,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,2,6–10 times
27.03.2025 09:52:57,Z Fold 2,Factory new,Over 24 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,2,6–10 times
16.03.2026 20:36:44,Z Fold 7,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,0–5 times
27.03.2025 11:42:52,Z Fold 5,Factory new,13–18 months,No,Yes,No,No,3rd party,3rd party,"Yes, after 7–12 months",No,Completely fine,2,11–15 times
27.03.2025 13:10:55,Z Fold 6,Factory new,0–6 months,No,"No, 1–20° are missing to be flat",No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",6,6–10 times
27.03.2025 13:47:26,Z Fold 4,Factory new,Over 24 months,"Yes, 1x",Yes,No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 0–6 months",No,Completely fine,6,16–20 times
27.03.2025 15:50:59,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,None,None,No,No,Completely fine,6,More than 20 times a day
27.03.2025 21:18:49,Z Fold 4,Factory new,Over 24 months,"Yes, more than 3x","No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,0–5 times
27.03.2025 23:12:07,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,None,None,"Yes, after 13–18 months",No,Completely fine,4,16–20 times
28.03.2025 01:08:58,Z Fold 4,Refurbished,0–6 months,"Yes, 2x",Yes,No,"Yes, after more than 24 months",3rd party,3rd party,"Yes, after 13–18 months",No,Completely fine,3,More than 20 times a day
28.03.2025 08:19:38,Z Fold 5,Refurbished,13–18 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,2,More than 20 times a day
28.03.2025 08:39:12,Z Fold 6,Used,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,0–5 times
28.03.2025 10:02:57,Z Fold 3,Used,Over 24 months,"Yes, 3x",Yes,No,"Yes, after more than 24 months",3rd party,Default factory one that is pre-applied,"Yes, after 13–18 months",No,Completely fine,4,16–20 times
28.03.2025 10:32:17,Z Fold 4,Refurbished,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
28.03.2025 11:46:14,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,More than 20 times a day
28.03.2025 16:55:42,Z Fold 6,Refurbished,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,8,16–20 times
28.03.2025 23:03:01,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,None,Samsung official replacement (e. g. at a Service Centre),"Yes, after 13–18 months",No,Completely fine,4,11–15 times
29.03.2025 00:02:28,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,0–5 times
29.03.2025 02:00:19,Z Fold 4,Factory new,19–24 months,"Yes, 1x",Yes,No,"Yes, after 13–18 months",Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,8,11–15 times
29.03.2025 08:50:12,Z Fold 6,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
29.03.2025 13:56:03,Z Fold 4,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,None,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,3,More than 20 times a day
29.03.2025 14:47:08,Z Fold 5,Factory new,13–18 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Samsung official replacement (e. g. at a Service Centre),"Yes, after 13–18 months",No,"Small scratches, only visible under a certain light",9,0–5 times
30.03.2025 01:17:40,Z Fold 2,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,3rd party,"Yes, after 7–12 months","Yes, since 0–6 months",Completely fine,6,16–20 times
30.03.2025 10:25:43,Z Fold 6,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",8,6–10 times
30.03.2025 10:28:56,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",9,More than 20 times a day
30.03.2025 15:04:57,Z Fold 3,Factory new,Over 24 months,"Yes, 3x",Yes,"Yes, but at fault of my own","Yes, after 0–6 months",Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after 0–6 months","Yes, since 13–18 months","Small scratches, only visible under a certain light",3,11–15 times
30.03.2025 15:24:35,Z Fold 6,Refurbished,0–6 months,No,Yes,No,No,3rd party,None,No,No,Completely fine,4,11–15 times
30.03.2025 18:20:57,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,5,11–15 times
30.03.2025 18:58:25,Z Fold 4,Factory new,19–24 months,"Yes, 1x",Yes,No,"Yes, after 19–24 months",None,Default factory one that is pre-applied,"Yes, after 13–18 months",No,Completely fine,6,11–15 times
30.03.2025 21:40:40,Z Fold 4,Factory new,13–18 months,"Yes, 1x",Yes,No,"Yes, after 13–18 months",3rd party,3rd party,"Yes, after 0–6 months",No,Completely fine,7,16–20 times
30.03.2025 22:55:51,I don't own any of them,,,,,,,,,,,,,
30.03.2025 23:17:13,Z Fold 6,Factory new,0–6 months,No,"No, 1–20° are missing to be flat",No,No,None,Default factory one that is pre-applied,No,No,Completely fine,8,11–15 times
30.03.2025 23:52:40,I don't own any of them,,,,,,,,,,,,,
31.03.2025 04:04:38,Z Fold 4,Factory new,19–24 months,No,Yes,No,No,3rd party,None,"Yes, after 13–18 months",No,"Small scratches, only visible under a certain light",6,11–15 times
31.03.2025 09:16:36,Z Fold 5,Factory new,19–24 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,3,6–10 times
01.04.2025 10:35:33,Z Fold 6,Factory new,0–6 months,No,Yes,No,No,3rd party,3rd party,No,No,Completely fine,2,More than 20 times a day
